,1/10,1/10,1/10,1/0.1,1/0.1,1/0.1,,,,,,,,,
μAを変化させる,,,,,,,,,,,,,,,
,μA,μB,μC,λA,λB,λC,→,μA,μBC,λA,λBC,シミュレーション(区間),シミュレーション(平均),解析,相対誤差
,1/1,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/1,0.196097035,1/0.05,1/0.1,"[0.00394636165144513,0.004025826878007188]",0.003986094,0.004447767,0.115820741
,1/2,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/2,0.196097035,1/0.05,1/0.1,"[0.007605499166330382,0.007851456415997072]",0.007728478,0.00797528,0.031934125
,1/3,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/3,0.196097035,1/0.05,1/0.1,"[0.010051065650009534,0.010485919347419801]",0.010268492,0.010614019,0.033649217
,1/4,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/4,0.196097035,1/0.05,1/0.1,"[0.01168739933718688,0.012047048913570935]",0.011867224,0.012662492,0.067013804
,1/5,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/5,0.196097035,1/0.05,1/0.1,"[0.0137146067655521,0.0142352712346077]",0.013974939,0.014298939,0.023184379
,1/6,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/6,0.196097035,1/0.05,1/0.1,"[0.015556354115091105,0.01609676228016218]",0.015826558,0.015636352,-0.012018151
,1/7,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/7,0.196097035,1/0.05,1/0.1,"[0.016537803049897704,0.01686348943584239]",0.016700646,0.016749851,0.002946268
,1/8,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/8,0.196097035,1/0.05,1/0.1,"[0.017667752066485465,0.01827387914397237]",0.017970816,0.017691332,-0.015552096
,1/9,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/9,0.196097035,1/0.05,1/0.1,"[0.018762938251534765,0.01952374556663166]",0.019143342,0.018497802,-0.033721397
,1/10,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/10,0.196097035,1/0.05,1/0.1,"[0.0187343967374665,0.0195388732384976]",0.019136635,0.019402673,0.01390204
,1/11,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/11,0.196097035,1/0.05,1/0.1,"[0.01969057172692178,0.020692519668944084]",0.020191546,0.019807312,-0.019029444
,1/12,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/12,0.196097035,1/0.05,1/0.1,"[0.020406031580766478,0.021715952085078153]",0.021060992,0.020346163,-0.033940896
,1/13,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/13,0.196097035,1/0.05,1/0.1,"[0.02125714150133117,0.02277678483238555]",0.022016963,0.020824967,-0.054139913
,1/14,1/10,1/10,1/0.1,1/0.1,1/0.1,,1/14,0.196097035,1/0.05,1/0.1,"[0.021612125174759664,0.02312073118813034]",0.022366428,0.021253231,-0.049770901
