case,1-1,2-1,3-1,4-1,5-1,,,,,,,,,,,,
μA,1/10,1/5,1/10,1/5,1/5,,,,,,,,,,,,
λA,1/0.1,1/0.1,1/1,1/1,1/1,,,,,,,,,,,,
μB,1/10,1/10,1/10,1/10,1/10,,,,,,,,,,,,
λB,1/0.1,1/0.1,1/1,1/0.1,1/1,,,,,,,,,,,,
μC,1/10,1/10,1/10,1/10,1/10,,,,,,,,,,,,
λC,1/0.1,1/0.1,1/0.1,1/0.1,1/0.1,,,,,,,,,,,,
2マイナー,9.85E-03,6.51E-03,8.72E-02,3.03E-02,5.33E-02,,,,,,,,,,,,
3マイナー,1.94E-02,1.43E-02,1.12E-01,5.15E-02,1.12E-01,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
case,1-2,2-2,3-2,4-2,5-2,,,,,,,,,,,,
μA,1/10,1/5,1/10,1/5,1/5,,,,,,,,,,,,
λA,1/0.1,1/0.1,1/1,1/1,1/1,,,,,,,,,,,,
μB,1/10,1/10,1/10,1/10,1/10,,,,,,,,,,,,
λB,1/0.1,1/0.1,1/1,1/0.1,1/1,,,,,,,,,,,,
μC,1/10,1/10,1/10,1/10,1/10,,,,,,,,,,,,
λC,1/1,1/1,1/1,1/1,1/1,,,,,,,,,,,,
2マイナー,9.85E-03,6.51E-03,8.72E-02,3.03E-02,5.33E-02,,,,,,,,,,,,
3マイナー,6.49E-02,4.70E-02,1.39E-01,7.77E-02,9.65E-02,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
case,1-3,2-3,3-3,4-3,5-3,,,,,,,,,,,,
μA,1/10,1/5,1/10,1/5,1/5,,,,,,,,,,,,
λA,1/0.1,1/0.1,1/1,1/1,1/1,,,,,,,,,,,,
μB,1/10,1/10,1/10,1/10,1/10,,,,,,,,,,,,
λB,1/0.1,1/0.1,1/1,1/0.1,1/1,,,,,,,,,,,,
μC,1/5,1/5,1/5,1/5,1/5,,,,,,,,,,,,
λC,1/0.1,1/0.1,1/0.1,1/0.1,1/0.1,,,,,,,,,,,,
2マイナー,9.85E-03,6.51E-03,8.72E-02,3.03E-02,5.33E-02,,,,,,,,,,,,
3マイナー,1.49E-01,1.17E-01,1.52E-01,8.94E-02,1.17E-01,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
case,1-4,2-4,3-4,4-4,5-4,,,,,,,,,,,,
μA,1/10,1/5,1/10,1/5,1/5,,,,,,,,,,,,
λA,1/0.1,1/0.1,1/1,1/1,1/1,,,,,,,,,,,,
μB,1/10,1/10,1/10,1/10,1/10,,,,,,,,,,,,
λB,1/0.1,1/0.1,1/1,1/0.1,1/1,,,,,,,,,,,,
μC,1/5,1/5,1/5,1/5,1/5,,,,,,,,,,,,
λC,1/1,1/1,1/1,1/1,1/1,,,,,,,,,,,,
2マイナー,9.85E-03,6.51E-03,8.72E-02,3.03E-02,5.33E-02,,,,,,,,,,,,
3マイナー,1.37E-01,1.05E-01,2.40E-01,1.54E-01,1.62E-01,,,,,,,,,,,,
