"(1/30,1/30,1/30,1/0.1,1/1,1/0.1)と比較",,,,"[0.01919956119489004,0.02090623996039146]",,,,,,,,,,,,
Bを採用,1/30,0.064340924,1/0.05,1,,0.043217189,0.00105312,,,,,,,,,
Cを採用,1/30,0.064340924,1/0.05,10,,0.006326789,2.10E-05,,,,,,,,,
B:C=9:1,1/30,0.064340924,1/0.05,1.9,,0.024039196,0.000313607,,,,,,,,,
B:C=8:2,1/30,0.064340924,1/0.05,2.8,,0.017061194,0.00015572,,,,,,,,,
B:C=8.5:1.5,1/30,0.064340924,1/0.05,2.35,,0.019890181,0.000212878,,,,,,,,,
遅延レートにBCの勝率をかけてみる,1/30,0.064340924,1/0.05,5.43815221,,0.009845419,5.11E-05,,,,,,,,,
遅延レートの分子に勝率の重みつけ,1/30,0.064340924,1/0.05,22.2515944,,0.004008525,8.39E-06,,,,,,,,,
遅延レートにBCの勝率をかけて1/2倍する,1/30,0.064340924,1/0.05,2.719076105,,0.017501598,0.000164012,,,,,,,,,
,,,,,,,,,,,,,,,,
"(1/10,1/5,1/10,1/0.1,1/1,1/0.1)と比較",,,,"[0.10572309254403688,0.10762366213094642]",,,,"[0.004899150560585031,0.005314288306922859]",,,,,,,,
A-BC間の遅延パラメータを調整,,,,,,,,,,,,,,,,
,1/10,0.263321961,1/0.05,3.686978728,,0.059092543,0.001465603,,,,,,,,,
,1/10,0.263321961,1/0.1,3.686978728,,0.067721603,0.001941824,,,,,,,,,
,1/10,0.263321961,1/0.3,3.686978728,,0.100063413,0.004486669,,,,,,,,,
,1/10,0.263321961,1/0.4,3.686978728,,0.115078959,0.00612533,,,,,,,,,
,1/10,0.263321961,1/0.5,3.686978728,,0.129419294,0.007992247,,,,,,,,,
,,,,,,,,,,,,,,,,
BC-A間の遅延パラメータを調整,,,,,,,,,,,,,,,,
,1/10,0.263321961,1/0.05,1.5,,0.12614407,0.007496861,,,,,,,,,
遅延レートにBCの勝率をかけて1/2倍する,1/10,0.263321961,1/0.05,1.843489364,,0.105755871,0.005093238,,,,,,,,,
,1/10,0.263321961,1/0.05,2,,0.098648714,0.004378414,,,,,,,,,
,1/10,0.263321961,1/0.05,3,,0.0700425,0.002099787,,,,,,,,,
遅延レートにBCの勝率をかけてみる,1/10,0.263321961,1/0.05,3.686978728,,0.059092543,0.001465603,,,,,,,,,
,1/10,0.263321961,1/0.05,5,,0.046339608,0.000880839,,,,,,,,,
,,,,,,,,,,,,,,,,
Bを採用,1/10,0.263321961,1/0.05,1,,0.177947615,0.016194101,,,,,,,,,
Cを採用,1/10,0.263321961,1/0.05,10,,0.028079961,0.000313293,,,,,,,,,
B:C=8.5:1.5,1/10,0.263321961,1/0.05,2.35,,0.086006321,0.003256251,,,,,,,,,
B:C=9:1,1/10,0.263321961,1/0.05,1.9,,0.10306312,0.004815136,,,,,,,,,
B:C=9.5:0.5,1/10,0.263321961,1/0.05,1.45,,0.129851241,0.007992355,,,,,,,,,
,,,,,,,,,,,,,,,,
"(1/30,1/30,1/30,1/1,1/1,1/0.1)と比較",,,,"[0.04500811885834703,0.046125355944363206]",,,,,,,,,,,,
遅延レートにBCの勝率をかけて1/2倍する,1/30,0.064340924,1/0.5,2.719076105,,0.035469613,0.000695667,,,,,,,,,
,1/30,0.064340924,1/0.5,5.43815221,,0.027988247,0.000431389,,,,,,,,,
A-BCを1/2しない,1/30,0.064340924,1/1,5.43815221,,0.046867012,0.001277194,,,,,,,,,
Bを採用,1/30,0.064340924,1/0.5,1,,0.060602776,0.002101783,,,,,,,,,
Cを採用,1/30,0.064340924,1/0.5,10,,0.024550157,0.000332107,,,,,,,,,
B:C=9:1,1/30,0.064340924,1/0.5,1.9,,0.041858429,0.000975473,,,,,,,,,
B:C=9.5:0.5,1/30,0.064340924,1/0.5,1.45,,0.048380388,0.001314525,,,,,,,,,
,,,,,,,,,,,,,,,,
"(1/30,1/30,1/30,1/0.01,1/0.01,1/0.1)と比較",,,,"[0.0020118894522016817,0.0022691047747793918]",,,,,,,,,,,,
遅延レートにBCの勝率をかけて1/2倍する,1/30,0.066423484,1/0.005,27.46655644,,0.001829248,,,,,,,,,,
,1/30,0.066423484,1/0.005,54.93311288,,0.001025558,5.29E-07,,,,,,,,,
A-BCを1/2しない,1/30,0.066423484,1/0.01,54.93311288,,0.001246221,7.81E-07,,,,,,,,,
Bを採用,1/30,0.066423484,1/0.005,100,,0.000663095,2.21E-07,,,,,,,,,
Cを採用,1/30,0.066423484,1/0.005,10,,0.004630389,1.09E-05,,,,,,,,,
B:C=1.5:8.5,1/30,0.066423484,1/0.005,23.5,,0.002100373,2.22E-06,,,,,,,,,
B:C=2:8,1/30,0.066423484,1/0.005,28,,0.00179864,1.63E-06,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"(1/10,1/10,1/10,(1/1,1/0.1),1/0.1,1/0.1)と比較",,,,"[0.04209363558338461,0.04303333290341839]",,,,,,,,,,,,
A→Bを採用,1/10,0.196097035,1,1/0.1,,0.118514906,,,,,,,,,,
,1/10,0.196097035,3,1/0.1,,0.052546213,,,,,,,,,,
,1/10,0.196097035,4,1/0.0,,0.043136562,,,,,,,,,,
,1/10,0.196097035,5.5,1/0.1,,0.035200202,,,,,,,,,,
A→Cを採用,1/10,0.196097035,10,1/0.1,,0.025374049,,,,,,,,,,
A→BC=A→B+A→C,1/10,0.196097035,11,1/0.1,,0.024260865,,,,,,,,,,
,1/10,0.196097035,15,1/0.1,,0.021270694,,,,,,,,,,
,,,,,,,,,,,,,,,,
"(1/10,1/10,1/10,(1/0.2,1/0.8),1/0.1,1/0.1)と比較",,,,"[0.04714488588169369,0.04833886400381726]",,,,,,,,,,,,
和,1/10,0.196097035,6.25,1/0.1,,0.032613052,0.000577101,,,,,,,,,
早い方,1/10,0.196097035,1/0.2,1/0.1,,0.037338299,0.000765949,,,,,,,,,
調和平均,1/10,0.196097035,1/0.5,1/0.1,,0.070489406,0.002986479,,,,,,,,,
遅い方,1/10,0.196097035,1/0.8,1/0.1,,0.100235365,0.006507101,,,,,,,,,
平均,1/10,0.196097035,3.125,1/0.1,,0.051061285,0.001487108,,,,,,,,,
,,,,,,,,,,,,,,,,
"(1/10,1/10,1/10,(1/0.2,1/0.8),(1/0.7,1/0.3),1/0.1)と比較",,,,"[0.07557365237200869,0.07715403687363598]",,,,"[0.0029618399071354297,0.0030594531415735426]",,,,,,,,
早い方・早い方,1/10,0.192393564,1/0.2,1/0.3,,0.060170062,0.002078183,,,,,,,,,
早い方・遅い方,1/10,#REF!,1/0.2,1/0.7,,0.100439277,0.006417387,,,,,,,,,
遅い方・早い方,1/10,0.192393564,1/0.8,1/0.3,,0.119871193,0.009428641,,,,,,,,,
遅い方・遅い方,1/10,#REF!,1/0.8,1/0.7,,0.15457058,0.016573433,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
